Station ,River ,Location,lat,lon,RTS,Quality,Latest_data
115,Naugragad,Harsingbagar,29.70194444,80.60722222,0,Fair,2014
125,Jamadigad,Panjkonaya,29.63833333,80.51388889,0,Fair,2011
170,Surnayagad,Patan,29.45833333,80.55638889,0,Fair,1987
215,Karnali,Lalighat,29.15888889,81.59111111,0,Fair,2006
220,Tilanadi,Nagma,29.10722222,81.68027778,0,Fair,2015
225,Sinjhakhola,Diware,29.2,81.91666667,0,Poor,2015
250,Karnali,Benighat,28.96111111,81.11944444,0,Fair,2015
251.6,Langurkhola,Chhanna,29.49777778,81.13194444,0,Fair,2014
253.9,Kailashkhola,Mattada,29.16361111,81.31888889,0,Fair,2006
256.5,Budhiganga,Chitra,29.16305556,81.21638889,0,Fair,2008
258,Dhungad,Bhasme,29.37111111,80.785,0,Poor,2006
259.1,Sailigad,Gautada,29.36666667,80.83333333,0,Good,2006
259.2,Seti,Gopaghat,29.3,80.775,0,Fair,2014
260,Seti,Bangga,28.97777778,81.14444444,0,Fair,2015
265,Thulo,Bheri,28.71305556,82.28333333,0,Fair,2015
270,Bheri,Jamu,28.75555556,81.35,0,Poor,2010
283.3,Kandra,Pahalmanpur,28.51138889,80.94,0,Poor,2006
286,Saradakhola,Daradhunga,28.29944444,82.025,0,Poor,2015
289.95,Babai,Chepang,28.35111111,81.72055556,0,Fair,2013
290,Babai,Bargadha,28.42222222,81.36944444,0,Fair,1987
339.5,Jhimrukkhola,Chernata,28.05,82.82777778,0,Poor,1995
340,Jhimruk,Kohla,28.03611111,82.88333333,0,Fair,1970
350,Rapti,Bagasotigaon,27.85333333,82.79277778,0,Fair,2015
363,Jhajharikhola,Dhakeri,28.15611111,81.75361111,0,Fair,2011
364,Duduwakhola,Masurikhet,28.20416667,81.69555556,0,Fair,2006
387.4,Dumrekhola,Kalimati,27.79444444,83.53416667,0,Fair,2014
390,Tinaukhola,Butwal,27.70277778,83.46388889,0,Fair,1969
404.7,Mayagdi,Khola,28.35277778,83.52111111,0,Fair,2015
406.4,Modikhola,Bagar,28.51666667,83.95,0,Poor,2006
406.5,Modikhola,Nayapul,28.25416667,83.72416667,0,Poor,2015
410,Kali,Gandaki,28.00388889,83.60861111,0,Fair,1995
415,Adhikhola,Andhimuhan,27.97444444,83.59944444,0,Fair,1991
415.1,Adhikhola,Borlangpul,27.97416667,83.57388889,0,Fair,2015
428,Mardikhola,Lahachowk,28.30055556,83.91833333,0,Fair,2015
430,Seti,Phoolbari,28.23333333,84,0,Fair,1984
438,Madi,Shisaghat,28.1,84.23333333,0,Fair,2015
439.3,Khudikhola,Khudibazar,28.28666667,84.3575,0,Fair,1995
439.35,Marshyandi,Bhakundebesi,28.20361111,84.40305556,0,Good,2015
439.7,Marshyandi,Bimalnagar,27.95,84.43,0,Good,2015
439.8,Marshyandi,Goplingghat,27.92638889,84.495,0,Fair,1986
440,Chepekhola,Gharmbesi,28.06138889,84.48972222,0,Fair,2015
446.1,LangtangKhola,LangtangVillage,28.21666667,85.61666667,0,poor,2012
446.8,Phalankhukhola,Brtrawati,27.97361111,85.1875,0,Poor,1995
449.91,Trishuli,Kalikhola,27.83555556,84.55333333,0,Good,2015
465,Manaharikhola,Manahari,27.54361111,84.8175,0,Poor,2010
470,Lotharkhola,Lothar,27.58722222,84.73527778,0,Poor,2009
505,Bagmati,Sundarijal,27.78027778,85.42666667,0,Fair,2015
530,Bagmati,Gaurighat,27.70972222,85.35277778,0,Fair,2015
550,Bagmti,Chovar,27.66111111,85.29722222,0,Good,1980
565,Kulekhanikhola,Lamichaur,27.60361111,85.16083333,0,Fair,1978
570,Kulekhanikhola,Kulekhani,27.58611111,85.15833333,0,Good,1977
590,Bagmati,Karmaiya,27.13944444,85.48944444,0,Fair,1979
600.1,Arun,Uwagaun,27.58916667,87.33944444,0,Fair,2010
602,Sabayakhola,Tumlingtar,27.31,87.2125,0,Poor,2015
602.5,Hinwakhola,Pipaltar,27.29583333,87.225,0,Poor,2015
606,Arun,Simle,26.92833333,87.15444444,0,Fair,2015
620,Balephi,Jalbire,27.80555556,85.76944444,0,Fair,2015
627.5,Melamchi,Helambhu,28.03916667,85.53527778,0,Fair,2006
629.1,Idrawati,Dolalghat,27.63888889,85.70833333,0,Fair,2013
640,Rosikhola,Panauti,27.58055556,85.51388889,0,Fair,1987
650,Khimtikhola,Rasnalu,27.575,86.19722222,0,Fair,2013
652,Sunkosi,Khurkot,27.33638889,86.00027778,0,Fair,2015
660,Likhu,Sangutar,27.33611111,86.21944444,0,Good,2006
668.4,Taktorkhola,Beni,27.56277778,86.55777778,0,Fair,1991
680,Sunkosi,Kampughat,26.87444444,86.81944444,0,Good,1985
681,Sunkosi,Hampchuwar,26.92083333,87.14583333,0,Fair,2006
684,Tamur,Majhitar,27.15833333,87.7125,0,Fair,2012
728,Maikhola,Rajdwali,26.87916667,87.92916667,0,Poor,2008
795,Kankai,Mainachuli,26.68666667,87.87888889,0,Fair,2011
120,Chamelia,Nayalbadi,29.67222222,80.55833333,1,Fair,2015
240,Karnali,Asaraghat,28.95277778,81.44166667,1,Good,2014
269.5,Bheri,Samaijighat,28.51722222,81.65694444,1,Fair,2014
280,Karnali,Chisapani,28.64444444,81.29166667,1,Fair,2015
330,Marikhola,Nayagaon,28.07222222,82.8,1,Poor,2015
360,Rapti,Jalkundi,27.94722222,82.225,1,Fair,2006
375,Rapti,Kusum,28.00055556,82.11611111,1,Fair,2015
419.1,Kaligandaki,Ansing,27.88472222,83.795,1,Good,2015
420,Kali,Gandaki,27.75,84.34722222,1,Fair,2015
430.5,Seti,Gandaki,27.95333333,84.265,1,Good,2015
445,Burhi,Gandaki,28.04361111,84.81638889,1,Fair,2015
447,Trishuli,Betrawati,27.96888889,85.18333333,1,Good,2015
448,Tadi,Belkot,27.85972222,85.13833333,1,Good,2015
450,Narayani,Devghat,27.70833333,84.43055556,1,Good,2015
460,Rapti,Rajaiya,27.44722222,84.97388889,1,Fair,2015
550.05,Bagmati,Khokana,27.62888889,85.29472222,1,Fair,2012
581,Bagmati,Bhorleni,27.36194444,85.46944444,1,Poor,2006
589,Bagmati,Padharadovan,27.15166667,85.49166667,1,Fair,2006
604.5,Arun,Turkighat,27.33333333,87.19166667,1,Good,2006
610,Bhotekosi,Barbise,27.78833333,85.89861111,1,Fair,2012
630,Sunkosi,Pachuwarghat,27.55833333,85.75277778,1,Fair,2015
647,Tamakosi,Busti,27.63472222,86.08666667,1,Fair,2012
670,Dudhakosi,Rabuwabazar,27.27055556,86.66722222,1,Good,2006
690,Tamur,Mulghat,26.93055556,87.32916667,1,Poor,2013
695,Saptakosi,Chatara,26.86666667,87.15833333,1,Fair,2012
259.5,Seti,Dipayal,29.2382,80.95929,1,Fair,2015
