Days,Jestha,Ashad,Shrawan,Bhadra,Ashoj,Kartik,Mangsir
1,65.97,235.65,692.24,671.18,484.12,172.68,136.27
2,91.21,273.15,640.27,606.47,450.1,187.45,124.27
3,88.53,264.13,575.35,614.66,606.94,214.91,111.01
4,126.28,517.13,604.05,616.67,408.01,219.95,84.91
5,138.31,544.33,1354.75,755.22,359.81,227.09,81.74
6,120.84,671.87,1444.45,604.09,367.09,209.46,83.1
7,109.15,466.09,855.67,601.73,755.9,208.86,81.54
8,106.6,343.97,857.17,616.63,1280.05,203.09,81.46
9,130.67,338.54,766.89,689.78,753.03,210.99,77.1
10,189.59,346.99,817.37,580.53,682.46,230.6,76.5
11,172.33,340.97,648.84,503.12,533.43,328.7,73.1
12,189.8,317.93,749.89,479.67,499.88,312.45,72.98
13,230.9,361.69,661.11,461.1,406.15,243.05,76.53
14,185.6,451.62,807.06,408.45,412.04,327.47,68.63
15,154.5,462.84,725.35,397.27,360.23,182.81,73.28
16,189.23,388.54,698.38,423.5,343.65,166.56,71.41
17,165.39,357.4,727.43,415.66,323.47,172.36,70.88
18,130.55,385.53,680.91,452.19,305.51,164.24,67.88
19,141.09,422.46,690.62,370.14,279.52,160.79,73.42
20,122.57,408.56,604.86,405.07,277.14,145.59,67.23
21,103.24,451.62,605.67,481.32,258.9,127.5,68.92
22,105.44,516.09,714.35,484.8,238.67,144.82,68.35
23,117.01,718.99,593.4,420.02,235.97,146.66,68.85
24,220.95,596.41,607.75,457.56,,137.67,67.03
25,205.79,648.96,612.73,477.05,211.84,126.34,68.4
26,158.11,1070.38,934.37,497.02,207.18,133.78,62.47
27,171.06,675.23,772.87,423.86,193.36,104.92,71.63
28,178.01,649.18,718,406.4,184.96,106.11,66.3
29,194.68,867.24,1007.5,402.88,177.08,95.51,60.62
30,189.35,672.68,910.67,518,176.32,135.26,65.15
31,206.95,638.08,1103.6,539.57,,,
32,260.76,,806.24,,,,
